year,province,technology,generation
2019,New Brunswick,Non-renewable combustibles,
2019,New Brunswick,Nuclear,5015678.0
2019,New Brunswick,Solar,0.0
2019,New Brunswick,Wind,878964.0
2019,Newfoundland and Labrador,Biomass,
2019,Newfoundland and Labrador,Combustible fuels,1713701.0
2019,Newfoundland and Labrador,Hydro,40740718.0
2019,Newfoundland and Labrador,Non-renewable combustibles,
2019,Newfoundland and Labrador,Solar,0.0
2019,Newfoundland and Labrador,Wind,181936.0
2019,Nova Scotia,Biomass,
2019,Nova Scotia,Combustible fuels,7608565.0
2019,Nova Scotia,Hydro,1037083.0
2019,Nova Scotia,Non-renewable combustibles,
2019,Nova Scotia,Solar,0.0
2019,Nova Scotia,Wind,1090731.0
2019,Ontario,Biomass,
2019,Ontario,Combustible fuels,13594197.0
2019,Ontario,Hydro,38322378.0
2019,Ontario,Non-renewable combustibles,
2019,Ontario,Nuclear,90453578.0
2019,Ontario,Solar,2422880.0
2019,Ontario,Wind,11480888.0
2019,Prince Edward Island,Biomass,
2019,Prince Edward Island,Combustible fuels,5862.0
2019,Prince Edward Island,Hydro,0.0
2019,Prince Edward Island,Non-renewable combustibles,
2019,Prince Edward Island,Solar,566.0
2019,Prince Edward Island,Wind,646491.0
2019,Quebec,Biomass,
2019,Quebec,Combustible fuels,2001452.0
2019,Quebec,Hydro,198829843.0
2019,Quebec,Non-renewable combustibles,
2019,Quebec,Nuclear,
2019,Quebec,Solar,1379.0
2019,Quebec,Wind,11309565.0
2019,Saskatchewan,Biomass,
2019,Saskatchewan,Combustible fuels,19977752.0
2019,Saskatchewan,Hydro,3666114.0
2019,Saskatchewan,Non-renewable combustibles,
2019,Saskatchewan,Solar,4.0
2019,Saskatchewan,Wind,771374.0
2020,Alberta,Biomass,1668225.0
2020,Alberta,Combustible fuels,67670804.0
2020,Alberta,Hydro,2434336.0
2020,Alberta,Non-renewable combustibles,66002579.0
2020,Alberta,Solar,26344.0
2020,Alberta,Wind,5285665.0
2020,British Columbia,Biomass,4134069.0
2020,British Columbia,Combustible fuels,5741164.0
2020,British Columbia,Hydro,63863308.0
2020,British Columbia,Non-renewable combustibles,1607095.0
2020,British Columbia,Solar,1770.0
2020,British Columbia,Wind,3014615.0
2020,Manitoba,Biomass,83958.0
2020,Manitoba,Combustible fuels,108932.0
2020,Manitoba,Hydro,36170418.0
2020,Manitoba,Non-renewable combustibles,24974.0
2020,Manitoba,Solar,419.0
2020,Manitoba,Wind,958368.0
2020,New Brunswick,Biomass,570307.0
2020,New Brunswick,Combustible fuels,3789915.0
2020,New Brunswick,Hydro,2771095.0
2020,New Brunswick,Non-renewable combustibles,3219608.0
