ref_date,province,Biomass,Combustible fuels,Hydro,Non-renewable combustibles,Nuclear,Solar,Wind
2016-10-01,Nova Scotia,0.0,628298.0,32568.0,0.0,,0.0,97855.0
2016-10-01,Ontario,0.0,1158367.0,2719238.0,0.0,7685743.0,136861.0,879172.0
2016-10-01,Prince Edward Island,0.0,604.0,0.0,0.0,,0.0,57798.0
2016-10-01,Quebec,0.0,156001.0,14510933.0,0.0,0.0,105.0,844308.0
2016-10-01,Saskatchewan,0.0,1642822.0,292035.0,0.0,,0.0,63082.0
2016-11-01,Alberta,0.0,6103761.0,141229.0,0.0,,127.0,485887.0
2016-11-01,British Columbia,0.0,579168.0,5385807.0,0.0,,0.0,100030.0
2016-11-01,Manitoba,0.0,11116.0,3096318.0,0.0,,0.0,94381.0
2016-11-01,New Brunswick,0.0,544015.0,225269.0,0.0,473433.0,0.0,58176.0
2016-11-01,Newfoundland and Labrador,0.0,177585.0,4145394.0,0.0,,0.0,15146.0
2016-11-01,Nova Scotia,0.0,675770.0,61033.0,0.0,,0.0,97006.0
2016-11-01,Ontario,0.0,1310516.0,2615368.0,0.0,7486635.0,103041.0,1060246.0
2016-11-01,Prince Edward Island,0.0,968.0,0.0,0.0,,0.0,56918.0
2016-11-01,Quebec,0.0,201963.0,15959398.0,0.0,0.0,66.0,936689.0
2016-11-01,Saskatchewan,0.0,1628932.0,329834.0,0.0,,0.0,72513.0
2016-12-01,Alberta,0.0,6823838.0,140515.0,0.0,,124.0,460823.0
2016-12-01,British Columbia,0.0,567241.0,7250720.0,0.0,,0.0,114569.0
2016-12-01,Manitoba,0.0,15034.0,3244378.0,0.0,,0.0,99031.0
2016-12-01,New Brunswick,0.0,798913.0,163806.0,0.0,491638.0,0.0,54378.0
2016-12-01,Newfoundland and Labrador,0.0,273652.0,4551271.0,0.0,,0.0,19197.0
2016-12-01,Nova Scotia,0.0,859330.0,39114.0,0.0,,0.0,110058.0
2016-12-01,Ontario,0.0,1296810.0,2915080.0,0.0,7844763.0,43549.0,1572844.0
2016-12-01,Prince Edward Island,0.0,2500.0,0.0,0.0,,0.0,57708.0
2016-12-01,Quebec,0.0,224799.0,19858453.0,0.0,0.0,52.0,1001243.0
2016-12-01,Saskatchewan,0.0,2026852.0,302503.0,0.0,,0.0,87517.0
2017-01-01,Alberta,0.0,6878493.0,122138.0,0.0,,127.0,440473.0
2017-01-01,British Columbia,0.0,546167.0,7218612.0,0.0,,0.0,157765.0
2017-01-01,Manitoba,0.0,16604.0,3389927.0,0.0,,0.0,83051.0
2017-01-01,New Brunswick,0.0,672029.0,179291.0,0.0,482617.0,0.0,74599.0
2017-01-01,Newfoundland and Labrador,0.0,276523.0,4781946.0,0.0,,0.0,18494.0
2017-01-01,Nova Scotia,0.0,859399.0,90629.0,0.0,,0.0,97850.0
2017-01-01,Ontario,0.0,897101.0,3321065.0,0.0,8388243.0,53923.0,1081256.0
2017-01-01,Prince Edward Island,0.0,2072.0,0.0,0.0,,0.0,60933.0
2017-01-01,Quebec,0.0,247729.0,20508279.0,0.0,0.0,58.0,834699.0
2017-01-01,Saskatchewan,0.0,1953761.0,359782.0,0.0,,0.0,70704.0
2017-02-01,Alberta,0.0,6201556.0,133353.0,0.0,,99.0,291393.0
