ref_date,province,generation_type,technology,value,vector_id,coordinate,scalar_factor_code,decimals,symbol_code,status_code,security_level_code,release_time,frequency_code,series_title,member_uom_code
2021-09-01,Alberta,Total electricity production from biomass,Biomass,134861.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2022-01-07T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2021-10-01,Alberta,Total electricity production from biomass,Biomass,194480.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2022-02-07T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2021-11-01,Alberta,Total electricity production from biomass,Biomass,182362.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2022-03-09T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2021-12-01,Alberta,Total electricity production from biomass,Biomass,163557.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2022-04-08T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2022-01-01,Alberta,Total electricity production from biomass,Biomass,151125.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2022-05-05T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2022-02-01,Alberta,Total electricity production from biomass,Biomass,161459.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2022-06-07T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2022-03-01,Alberta,Total electricity production from biomass,Biomass,162776.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2022-07-07T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2022-04-01,Alberta,Total electricity production from biomass,Biomass,129707.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2022-08-08T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2022-05-01,Alberta,Total electricity production from biomass,Biomass,140471.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2022-09-14T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2022-06-01,Alberta,Total electricity production from biomass,Biomass,148214.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2022-10-07T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2022-07-01,Alberta,Total electricity production from biomass,Biomass,154300.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2022-11-07T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2022-08-01,Alberta,Total electricity production from biomass,Biomass,147561.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2022-12-08T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2022-09-01,Alberta,Total electricity production from biomass,Biomass,105509.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2022-12-08T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2022-10-01,Alberta,Total electricity production from biomass,Biomass,131395.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2023-03-08T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2022-11-01,Alberta,Total electricity production from biomass,Biomass,184257.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2023-03-08T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2022-12-01,Alberta,Total electricity production from biomass,Biomass,207095.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2023-05-09T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2023-01-01,Alberta,Total electricity production from biomass,Biomass,182367.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2023-04-12T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2023-02-01,Alberta,Total electricity production from biomass,Biomass,166123.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2023-06-06T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2023-03-01,Alberta,Total electricity production from biomass,Biomass,228571.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2023-06-06T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2023-04-01,Alberta,Total electricity production from biomass,Biomass,167917.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2023-07-10T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2023-05-01,Alberta,Total electricity production from biomass,Biomass,162974.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2023-08-04T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2023-06-01,Alberta,Total electricity production from biomass,Biomass,161558.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2023-09-11T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2023-07-01,Alberta,Total electricity production from biomass,Biomass,177252.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2023-10-10T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2023-08-01,Alberta,Total electricity production from biomass,Biomass,178653.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2023-12-07T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2023-09-01,Alberta,Total electricity production from biomass,Biomass,103508.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2023-12-07T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2023-10-01,Alberta,Total electricity production from biomass,Biomass,97796.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2024-01-10T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2023-11-01,Alberta,Total electricity production from biomass,Biomass,144921.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2024-02-01T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2023-12-01,Alberta,Total electricity production from biomass,Biomass,119193.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2024-03-01T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2024-01-01,Alberta,Total electricity production from biomass,Biomass,158879.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2024-04-02T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2024-02-01,Alberta,Total electricity production from biomass,Biomass,140736.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2024-04-29T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2024-03-01,Alberta,Total electricity production from biomass,Biomass,122973.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2024-05-31T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2024-04-01,Alberta,Total electricity production from biomass,Biomass,85382.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2024-07-02T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2024-05-01,Alberta,Total electricity production from biomass,Biomass,80061.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2024-07-31T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2024-06-01,Alberta,Total electricity production from biomass,Biomass,74000.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2024-09-03T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2024-07-01,Alberta,Total electricity production from biomass,Biomass,88306.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2024-09-27T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2024-08-01,Alberta,Total electricity production from biomass,Biomass,148086.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2024-10-31T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2024-09-01,Alberta,Total electricity production from biomass,Biomass,113877.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2024-11-28T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2024-10-01,Alberta,Total electricity production from biomass,Biomass,144357.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2024-12-24T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2024-11-01,Alberta,Total electricity production from biomass,Biomass,150031.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2025-01-31T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2024-12-01,Alberta,Total electricity production from biomass,Biomass,156138.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2025-02-28T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2025-01-01,Alberta,Total electricity production from biomass,Biomass,160948.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2025-03-31T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2025-02-01,Alberta,Total electricity production from biomass,Biomass,154545.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2025-04-29T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2025-03-01,Alberta,Total electricity production from biomass,Biomass,154956.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2025-06-02T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2025-04-01,Alberta,Total electricity production from biomass,Biomass,110621.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2025-09-02T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2025-05-01,Alberta,Total electricity production from biomass,Biomass,159230.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2025-07-30T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2025-06-01,Alberta,Total electricity production from biomass,Biomass,120887.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2025-09-02T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2025-07-01,Alberta,Total electricity production from biomass,Biomass,150560.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2025-09-29T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2025-08-01,Alberta,Total electricity production from biomass,Biomass,148251.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2025-10-31T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2025-09-01,Alberta,Total electricity production from biomass,Biomass,133219.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2025-12-01T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2025-10-01,Alberta,Total electricity production from biomass,Biomass,141114.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2026-01-09T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2025-11-01,Alberta,Total electricity production from biomass,Biomass,126903.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2026-01-30T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2025-12-01,Alberta,Total electricity production from biomass,Biomass,142353.0,1146006399,10.1.13.0.0.0.0.0.0.0,0,0,0,0,0,2026-03-02T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from biomass,210
2016-01-01,Alberta,Total electricity production from combustible fuels,Combustible fuels,7094835.0,1059484859,10.1.11.0.0.0.0.0.0.0,0,0,0,0,0,2019-04-05T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from combustible fuels,210
2016-02-01,Alberta,Total electricity production from combustible fuels,Combustible fuels,5805541.0,1059484859,10.1.11.0.0.0.0.0.0.0,0,0,0,0,0,2019-04-05T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from combustible fuels,210
2016-03-01,Alberta,Total electricity production from combustible fuels,Combustible fuels,6196588.0,1059484859,10.1.11.0.0.0.0.0.0.0,0,0,0,0,0,2019-04-05T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from combustible fuels,210
2016-04-01,Alberta,Total electricity production from combustible fuels,Combustible fuels,5530578.0,1059484859,10.1.11.0.0.0.0.0.0.0,0,0,0,0,0,2019-04-05T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from combustible fuels,210
2016-05-01,Alberta,Total electricity production from combustible fuels,Combustible fuels,5083154.0,1059484859,10.1.11.0.0.0.0.0.0.0,0,0,0,0,0,2019-04-05T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from combustible fuels,210
2016-06-01,Alberta,Total electricity production from combustible fuels,Combustible fuels,5481417.0,1059484859,10.1.11.0.0.0.0.0.0.0,0,0,0,0,0,2019-04-05T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from combustible fuels,210
2016-07-01,Alberta,Total electricity production from combustible fuels,Combustible fuels,6189356.0,1059484859,10.1.11.0.0.0.0.0.0.0,0,0,0,0,0,2019-04-05T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from combustible fuels,210
2016-08-01,Alberta,Total electricity production from combustible fuels,Combustible fuels,6329337.0,1059484859,10.1.11.0.0.0.0.0.0.0,0,0,0,0,0,2019-04-05T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from combustible fuels,210
2016-09-01,Alberta,Total electricity production from combustible fuels,Combustible fuels,5817633.0,1059484859,10.1.11.0.0.0.0.0.0.0,0,0,0,0,0,2019-04-05T08:30,6,Alberta;Total all classes of electricity producer;Total electricity production from combustible fuels,210
